Reviewer,Branch,Review_Date,Overall_Rating,Food_Rating,Service_Rating,Atmosphere_Rating,Products_Mentioned,Order_Type,Meal_Type,Price_Per_Person,Sentiment,Sentiment_Score,Review_Excerpt,Source_URL
"Public reviewer","I-8 Markaz","Not specified","Not specified","Not specified","Not specified","Not specified","Not specified","Not specified","Not specified","Not specified","Neutral","0","Visitors' reviews on Sugreve - I-8 Markaz / 136","https://restaurantguru.com/Sugreve-I8-Islamabad"
"Mughal Tools","I-8 Markaz","Not specified","5","5","5","5","Not specified","Delivery","Not specified","Rs 3,000–4,000 S Response from the owner 2 months ago Thank you for your review, Mughal Tools! We appreciate your support and look forward to serving you again soon. Show replies (1) Request content removal Nauman Abbasi 2 months ago on Google I have had very bad experiences with this store whenever I place an order online. They never have anything in stock, and their customer care called and said this is the last time you'll face this issue in the future, you won't have any problem. But in reality.nothing is improving.......this is my 12th consecutive order, and the same old story repeats on every order. Now, their food is not that good at all, and one big issue is that their customer service department always calls after 1Am at night and keeps calling, which is very unprofessional behavior. I am totally disappointed with their services. Order No. 29506289.","Positive","0.2840909091","Request content removal arooj ali 2 months ago on Google S Response from the owner 2 months ago Thank you for your positive feedback! We appreciate your support and look forward to serving you again. Show replies (1) Request content removal Mughal Tools 2 months ago on Google","https://restaurantguru.com/Sugreve-I8-Islamabad"
"Public reviewer","I-8 Markaz","Not specified","5","5","5","5","Not specified","Not specified","Not specified","Not specified","Positive","0.2840909091","Request content removal arooj ali 2 months ago on Google S Response from the owner 2 months ago Thank you for your positive feedback! We appreciate your support and look forward to serving you again. Show replies (1)","https://restaurantguru.com/Sugreve-I8-Islamabad"
"Mughal Tools","I-8 Markaz","Not specified","5","5","5","5","Not specified","Delivery","Not specified","Rs 3,000–4,000 S Response from the owner 2 months ago Thank you for your review, Mughal Tools! We appreciate your support and look forward to serving you again soon. Show replies (1)","Neutral","0","Request content removal Mughal Tools 2 months ago on Google","https://restaurantguru.com/Sugreve-I8-Islamabad"
"Public reviewer","I-8 Markaz","Not specified","Not specified","Not specified","Not specified","Not specified","Not specified","Not specified","Not specified","Not specified","Neutral","0","S Response from the owner 2 months ago Thank you for your review, Mughal Tools! We appreciate your support and look forward to serving you again soon.","https://restaurantguru.com/Sugreve-I8-Islamabad"
"Public reviewer","I-8 Markaz","Not specified","Not specified","Not specified","Not specified","Not specified","Not specified","Not specified","Not specified","Not specified","Neutral","0","Thank you for your review, Mughal Tools! We appreciate your support and look forward to serving you again soon.","https://restaurantguru.com/Sugreve-I8-Islamabad"
"Nauman Abbasi","I-8 Markaz","Not specified","1","1","1","1","Not specified","Delivery","Not specified","Rs 2,000–3,000 S Response from the owner 2 months ago Valued Guest,  We apologize for the inconvenience. Please share your order number and contact number so that we can track your order and assist you further.  Thank you. Show replies (1)","Neutral","-0.0733333333","Request content removal Nauman Abbasi 2 months ago on Google I have had very bad experiences with this store whenever I place an order online. They never have anything in stock, and their customer care called and said this is the last time you'll face this issue in the future, yo","https://restaurantguru.com/Sugreve-I8-Islamabad"
"Public reviewer","Bahria Phase 7","Not specified","Not specified","Not specified","Not specified","Not specified","Not specified","Not specified","Not specified","Not specified","Neutral","0","Visitors' reviews on Sugreve - Bahria Phase 7 / 94","https://restaurantguru.com/Sugreve-Blue-Area-Islamabad"
"Fizzah Usaf","Bahria Phase 7","Not specified","5","5","5","5","Chocolate, Chocolate Malt Cake, Mango Classic Cake","Takeaway","Other","Rs 2,000–3,000 S Response from the owner 2 months ago We sincerely apologize for the inconvenience, dear guest. Your experience means the world to us. Could you please share your contact number or feel free to reach us at 051 111 77 44 77 through our Facebook/Instagram pages, or email at support@sugreve.com so we can make it right. Show replies (1) Request content removal Mr Abdullah 2 months ago on Google The three milk and lotus is just average. They're trying to take on layer's (may allah give them more success ameen) but they're far behind in terms of quality. Order type: Takeaway","Positive","0.1821428571","Request content removal yass awan 2 months ago on Google I ordered Chocolate Malt Cake and it was very nice and tasty really fresh baked ..and the thing is cake was delivered with in few minutes in a appropriate manners...Highly recommend. S Response from the owner 2 months ago T","https://restaurantguru.com/Sugreve-Blue-Area-Islamabad"
"Fizzah Usaf","Bahria Phase 7","Not specified","2.3333333333","1","3","3","Mango Classic Cake","Takeaway","Other","Rs 2,000–3,000 S Response from the owner 2 months ago We sincerely apologize for the inconvenience, dear guest. Your experience means the world to us. Could you please share your contact number or feel free to reach us at 051 111 77 44 77 through our Facebook/Instagram pages, or email at support@sugreve.com so we can make it right. Show replies (1)","Neutral","0.0290601504","Request content removal Fizzah Usaf 2 months ago on Google I personally went to get the Mango Classic Cake because I was so excited to try their special mango cake. Unfortunately, it was a huge disappointment. The sponge was extremely dry, and there was none of the fresh, real ma","https://restaurantguru.com/Sugreve-Blue-Area-Islamabad"
"Mr Abdullah","Bahria Phase 7","Not specified","Not specified","Not specified","Not specified","Not specified","Lotus","Takeaway","Other","Rs 10,000+ S Response from the owner 2 months ago Thank you for your feedback, Mr. Abdullah. We appreciate you taking the time to share your thoughts on the three milk and lotus. We're always looking to improve, and your insights will help us enhance our offerings. We hope to have the opportunity to serve you again in the future. Show replies (1)","Neutral","0.07","Request content removal Mr Abdullah 2 months ago on Google The three milk and lotus is just average. They're trying to take on layer's (may allah give them more success ameen) but they're far behind in terms of quality.","https://restaurantguru.com/Sugreve-Blue-Area-Islamabad"
